                           star_rating,title,content_rating,genre
9.3,The Shawshank Redemption,R,Crime
9.2,The Godfather,R,Crime
9.1,The Godfather: Part II,R,Crime
9,The Dark Knight,PG-13,Action
8.9,Pulp Fiction,R,Crime
8.9,12 Angry Men,NOT RATED,Drama
8.9,"The Good, the Bad and the Ugly",NOT RATED,Western
8.9,The Lord of the Rings: The Return of the King,PG-13,Adventure
8.9,Schindler's List,R,Biography
8.9,Fight Club,R,Drama
8.8,The Lord of the Rings: The Fellowship of the Ring,PG-13,Adventure
8.8,Inception,PG-13,Action
8.8,Star Wars: Episode V - The Empire Strikes Back,PG,Action
8.8,Forrest Gump,PG-13,Drama
8.8,The Lord of the Rings: The Two Towers,PG-13,Adventure
8.7,Interstellar,PG-13,Adventure
8.7,One Flew Over the Cuckoo's Nest,R,Drama
8.7,Seven Samurai,UNRATED,Drama
8.7,Goodfellas,R,Biography
8.7,Star Wars,PG,Action
8.7,The Matrix,R,Action
8.7,City of God,R,Crime
8.7,It's a Wonderful Life,APPROVED,Drama
8.7,The Usual Suspects,R,Crime
8.7,Se7en,R,Drama
8.6,Life Is Beautiful,PG-13,Comedy
8.6,Once Upon a Time in the West,PG-13,Western
8.6,The Silence of the Lambs,R,Drama
8.6,Leon: The Professional,R,Crime
8.6,City Lights,PASSED,Comedy
8.6,Spirited Away,PG,Animation
8.6,The Intouchables,R,Biography
8.6,Casablanca,PG,Drama
8.6,Whiplash,R,Drama
8.6,American History X,R,Crime
8.6,Modern Times,G,Comedy
8.6,Saving Private Ryan,R,Action
8.6,Raiders of the Lost Ark,PG,Action
8.6,Rear Window,APPROVED,Mystery
8.6,Psycho,R,Horror
8.5,The Green Mile,R,Crime
8.5,Sunset Blvd.,NOT RATED,Drama
